business_id,industry,region,month,monthly_revenue,cash_outflow,burn_rate,churn_rate,lead_time_days,headcount,cash_flow_flag,churn_flag,lead_time_flag,risk_score
SMB-00001,Manufacturing,Southwest,2023-02,93150.94,85085.27,-0.0866,0.0542,24,8,0,0,0,5.31
SMB-00001,Manufacturing,Southwest,2023-03,111409.54,89069.87,-0.2005,0.1009,25.1,9,0,0,0,1.38
SMB-00001,Manufacturing,Southwest,2023-04,101760.17,100472.48,-0.0127,0.0734,18.8,9,0,0,0,7.84
SMB-00001,Manufacturing,Southwest,2023-05,117172.25,95907.57,-0.1815,0.065,36.7,9,0,0,1,5.12
SMB-00001,Manufacturing,Southwest,2023-06,121057.6,100351,-0.171,0.0335,21.5,9,0,0,0,0
SMB-00001,Manufacturing,Southwest,2023-07,124047.58,97015.2,-0.2179,0.036,27.1,8,0,0,0,0
SMB-00001,Manufacturing,Southwest,2023-09,130049.99,133301.95,0.025,0.1018,20.2,9,0,0,0,11.05
SMB-00001,Manufacturing,Southwest,2023-10,138351.46,118822.1,-0.1412,0.1278,35,8,0,0,1,8.45
SMB-00001,Manufacturing,Southwest,2023-11,124491.02,95100.47,-0.2361,0.0796,13.8,8,0,0,0,0
SMB-00001,Manufacturing,Southwest,2023-12,148033.61,142677.22,-0.0362,0.0541,24.5,9,0,0,0,7.98
SMB-00001,Manufacturing,Southwest,2024-01,114456.62,130876.59,0.1435,0.089,43.3,9,1,0,1,24.27
SMB-00001,Manufacturing,Southwest,2024-02,113579.24,103756.06,-0.0865,0.0795,11,9,0,0,0,1.74
SMB-00001,Manufacturing,Southwest,2024-03,117365.04,134378.31,0.145,0.1274,34.6,8,1,0,1,22.59
SMB-00001,Manufacturing,Southwest,2024-04,99118.86,103245.59,0.0416,0.0403,39.1,9,0,0,1,16.32
SMB-00001,Manufacturing,Southwest,2024-05,128124.31,134690.71,0.0513,0.0431,25.5,9,0,0,0,12.35
SMB-00001,Manufacturing,Southwest,2024-06,139403.05,129821.43,-0.0687,0.0429,40.8,9,0,0,1,11.47
SMB-00001,Manufacturing,Southwest,2024-07,124434.08,116306.59,-0.0653,0.0725,26.9,9,0,0,0,7.88
SMB-00001,Manufacturing,Southwest,2024-08,118054.45,106564.41,-0.0973,0.1151,23.8,9,0,0,0,6.54
SMB-00001,Manufacturing,Southwest,2024-09,134551.3,128559.25,-0.0445,0.1112,7.9,9,0,0,0,3.74
SMB-00001,Manufacturing,Southwest,2024-10,144464.14,156581.72,0.0839,0.1262,18.7,9,0,0,0,14.22
SMB-00001,Manufacturing,Southwest,2024-11,146224.21,142366.16,-0.0264,0.0365,38.7,9,0,0,1,12.67
SMB-00001,Manufacturing,Southwest,2024-12,185160.98,203360.12,0.0983,0.0796,22.2,9,0,0,0,14.71
SMB-00002,Retail,Midwest,2023-01,31508.14,28065.28,-0.1093,0.1226,33.3,1,0,0,1,9.3
SMB-00002,Retail,Midwest,2023-02,29759.72,30555.27,0.0267,0.0325,30.6,1,0,0,1,12.5
SMB-00002,Retail,Midwest,2023-03,33739.84,29259.17,-0.1328,0.1057,31.8,2,0,0,1,7.12
SMB-00002,Retail,Midwest,2023-04,32665.02,28918.8,-0.1147,0.0963,23,1,0,0,0,4.83
SMB-00002,Retail,Midwest,2023-05,36620.61,33074.31,-0.0968,0.065,28.2,2,0,0,0,6.5
SMB-00002,Retail,Midwest,2023-06,35104.96,39942.96,0.1378,0.1338,11.1,1,1,0,0,14.6
SMB-00002,Retail,Midwest,2023-07,37697.31,28621.79,-0.2407,0.0344,18.9,1,0,0,0,0
SMB-00002,Retail,Midwest,2023-08,39654.66,35805.81,-0.0971,0.1056,38.1,2,0,0,1,11.02
SMB-00002,Retail,Midwest,2023-09,39503.2,42261.53,0.0698,0.1014,,3,0,0,0,9.27
SMB-00002,Retail,Midwest,2023-10,35619.19,37393.05,0.0498,0.0753,20.8,1,0,0,0,11.7
SMB-00002,Retail,Midwest,2023-11,40736.91,37943.33,-0.0686,0.0543,4.8,2,0,0,0,0
SMB-00002,Retail,Midwest,2023-12,46100.73,52263.85,0.1337,0.1862,31.6,2,1,1,1,22.81
SMB-00002,Retail,Midwest,2024-01,31976.72,36525.68,0.1423,0.0863,28.2,1,1,0,0,19.09
SMB-00002,Retail,Midwest,2024-02,32579.3,25941.67,-0.2037,0.0399,34.5,2,0,0,1,2.52
SMB-00002,Retail,Midwest,2024-03,33143.13,37826.48,0.1413,0.0774,18.5,2,1,0,0,15.57
SMB-00002,Retail,Midwest,2024-04,35181.8,39039.99,0.1097,0.084,4.4,2,1,0,0,9.47
SMB-00002,Retail,Midwest,2024-05,35169.49,33265.28,-0.0541,0.0371,44,3,0,0,1,13.06
SMB-00002,Retail,Midwest,2024-06,41528.36,46726.03,0.1252,0.0665,16.9,3,1,0,0,13.9
SMB-00002,Retail,Midwest,2024-07,33344.77,34441.46,0.0329,0.1252,40.3,2,0,0,1,18.83
SMB-00002,Retail,Midwest,2024-08,44497.63,47864.66,0.0757,0.0949,30.3,1,0,0,1,16.74
SMB-00002,Retail,Midwest,2024-09,43644.66,41824.76,-0.0417,0.0868,35.6,1,0,0,1,12.39
SMB-00002,Retail,Midwest,2024-10,39950.99,35931.89,-0.1006,0.111,14.2,2,0,0,0,3.04
SMB-00002,Retail,Midwest,2024-11,47766.64,53698.03,0.1242,0.1171,26.1,1,1,0,0,18.41
SMB-00002,Retail,Midwest,2024-12,45618.33,38167.12,-0.1633,0.0486,32.8,2,0,0,1,4.22
SMB-00003,Manufacturing,Midwest,2023-01,57448.06,58757.75,0.0228,0.115,33.5,5,0,0,1,15.74
SMB-00003,Manufacturing,Midwest,2023-02,56383.73,64066.93,0.1363,0.1091,23,5,1,0,0,17.76
SMB-00003,Manufacturing,Midwest,2023-03,57654.06,44045.27,-0.236,0.0793,36.1,4,0,0,1,2.61
SMB-00003,Manufacturing,Midwest,2023-04,58009.87,46667.34,-0.1955,0.057,35.7,4,0,0,1,3.84
SMB-00003,Manufacturing,Midwest,2023-05,71212.15,68035.23,-0.0446,0.0514,15.6,4,0,0,0,4.5
SMB-00003,Manufacturing,Midwest,2023-06,73816.83,63906.76,-0.1343,0.0068,12,4,0,0,0,0
SMB-00003,Manufacturing,Midwest,2023-07,73924.22,81757.06,0.106,0.0697,9.4,5,1,0,0,10.53
SMB-00003,Manufacturing,Midwest,2023-08,72114.49,82561.22,0.1449,0.1412,8.7,5,1,0,0,14.38
SMB-00003,Manufacturing,Midwest,2023-09,78045.8,83311.2,0.0675,0.1299,42.5,5,0,0,1,21.43
SMB-00003,Manufacturing,Midwest,2023-10,62515.15,64160.4,0.0263,0.0485,6.8,4,0,0,0,5.03
SMB-00003,Manufacturing,Midwest,2023-11,64912.23,72553.51,0.1177,0.0752,23.8,4,1,0,0,16.09
SMB-00003,Manufacturing,Midwest,2023-12,81801.11,89060.75,0.0887,0.0547,28.1,4,0,0,0,15.45
SMB-00003,Manufacturing,Midwest,2024-01,57267.24,45012.89,-0.214,0.1098,25.6,5,0,0,0,1.14
SMB-00003,Manufacturing,Midwest,2024-02,53461.02,49720.27,-0.07,0.0855,4.1,5,0,0,0,0.43
SMB-00003,Manufacturing,Midwest,2024-03,61756.42,48774.46,-0.2102,0.1187,23.6,4,0,0,0,0.9
SMB-00003,Manufacturing,Midwest,2024-04,64007.86,51311.59,-0.1984,0.034,13.3,5,0,0,0,0
SMB-00003,Manufacturing,Midwest,2024-05,68976.28,70535.6,0.0226,0.0356,26.8,4,0,0,0,11.12
SMB-00003,Manufacturing,Midwest,2024-06,68748.48,63283.18,-0.0795,0.1011,22.3,4,0,0,0,6.48
SMB-00003,Manufacturing,Midwest,2024-07,65790.28,73322.36,0.1145,0.0922,41.9,4,1,0,1,22.45
SMB-00003,Manufacturing,Midwest,2024-08,70921.15,53777.64,-0.2417,0.0758,4.6,5,0,0,0,0
SMB-00003,Manufacturing,Midwest,2024-09,81672.76,64278.36,-0.213,0.1037,16.1,4,0,0,0,0
SMB-00003,Manufacturing,Midwest,2024-10,76092.18,66234.73,-0.1295,0.1066,20,3,0,0,0,3.39
SMB-00003,Manufacturing,Midwest,2024-11,80386.26,83642.11,0.0405,0.0105,18.3,4,0,0,0,8.43
SMB-00003,Manufacturing,Midwest,2024-12,77474.11,60306.15,-0.2216,0.0588,31.1,5,0,0,1,1.06
SMB-00004,Education,Northeast,2023-01,48302.96,48844.36,0.0112,0.0226,25.1,3,0,0,0,9.61
SMB-00004,Education,Northeast,2023-02,34729.34,34194.86,-0.0154,0.0407,41.5,2,0,0,1,14.28
SMB-00004,Education,Northeast,2023-03,44058.81,36605.18,-0.1692,0.0663,23.4,3,0,0,0,1.33
SMB-00004,Education,Northeast,2023-04,45578.34,39184.62,-0.1403,0.0348,6.7,3,0,0,0,0
SMB-00004,Education,Northeast,2023-05,50424.99,39680.16,-0.2131,0.1001,30.7,3,0,0,1,2.6
SMB-00004,Education,Northeast,2023-06,49211.89,42370.51,-0.139,0.1179,36.2,2,0,0,1,8.66
SMB-00004,Education,Northeast,2023-07,51080.75,53376.26,0.0449,0.1166,11.2,2,0,0,0,9.47
SMB-00004,Education,Northeast,2023-09,54561.82,45252.97,-0.1706,0.0601,6.5,2,0,0,0,0
SMB-00004,Education,Northeast,2023-10,51851.34,45982.75,-0.1132,0.0655,10.9,3,0,0,0,0
SMB-00004,Education,Northeast,2023-11,54390.75,55630.2,0.0228,0.0518,44.7,2,0,0,1,17.61
SMB-00004,Education,Northeast,2023-12,57685.09,62744.58,0.0877,0.1161,20.5,3,0,0,0,14.72
SMB-00004,Education,Northeast,2024-01,44103.33,40108.81,-0.0906,0.0594,18.1,3,0,0,0,3.3
SMB-00004,Education,Northeast,2024-02,41064.95,36926.45,-0.1008,0.0725,42.6,3,0,0,1,11.35
SMB-00004,Education,Northeast,2024-03,44877.53,49412.36,0.101,0.0876,38.6,2,1,0,1,20.53
SMB-00004,Education,Northeast,2024-04,40801.43,45616.96,0.118,0.1109,41.9,3,1,0,1,23.19
SMB-00004,Education,Northeast,2024-05,48375.29,49290.82,0.0189,0.0867,40.8,3,0,0,1,17.14
SMB-00004,Education,Northeast,2024-06,52294.48,58298.29,0.1148,0.0538,26.9,3,1,0,0,16.33
SMB-00004,Education,Northeast,2024-07,52053.99,58509.24,0.124,0.1166,10.4,3,1,0,0,13.16
SMB-00004,Education,Northeast,2024-08,52261.24,48573.52,-0.0706,0.0922,26.5,2,0,0,0,8.06
SMB-00004,Education,Northeast,2024-09,45328.46,45945.9,0.0136,0.0471,6.8,2,0,0,0,4.37
SMB-00004,Education,Northeast,2024-10,52565.55,54881.49,0.0441,0.0815,39.1,3,0,0,1,17.67
SMB-00004,Education,Northeast,2024-11,53143.16,58064.13,0.0926,0.0848,33.3,2,0,0,1,18.27
SMB-00004,Education,Northeast,2024-12,69017.36,68933.98,-0.0012,0.0507,42.1,2,0,0,1,15.48
SMB-00005,Professional Services,Midwest,2023-01,64855.34,60300.31,-0.0702,0.0442,17.6,6,0,0,0,3.69
SMB-00005,Professional Services,Midwest,2023-012023,76051.44,72133.41,-0.0515,0.0691,29.1,5,0,0,0,9.2
SMB-00005,Professional Services,Midwest,2023-02,77522.44,70727.86,-0.0876,0.1013,27.2,6,0,0,0,7.72
SMB-00005,Professional Services,Midwest,2023-03,94244.89,72103.44,-0.2349,0.0909,42.8,6,0,0,1,5.24
SMB-00005,Professional Services,Midwest,2023-04,86982.46,69748.18,-0.1981,0.1132,31.3,6,0,0,1,3.91
SMB-00005,Professional Services,Midwest,2023-05,92108.14,92482.25,0.0041,0.0985,25.9,8,0,0,0,11.79
SMB-00005,Professional Services,Midwest,2023-06,90336.78,79675,-0.118,0.0505,14.8,7,0,0,0,0.54
SMB-00005,Professional Services,Midwest,2023-07,90321.35,82924.1,-0.0819,0.1147,37.1,7,0,0,1,11.7
SMB-00005,Professional Services,Midwest,2023-08,96805.73,81716.02,-0.1559,0.0135,3.9,6,0,0,0,0
SMB-00005,Professional Services,Midwest,2023-09,94036.01,84342.04,-0.1031,0.1046,,6,0,0,1,11.01
SMB-00005,Professional Services,Midwest,2023-10,96618.7,91350.87,-0.0545,0.105,11.8,6,0,0,0,4.36
SMB-00005,Professional Services,Midwest,2023-11,94244.43,103204.07,0.0951,0.1147,18.5,7,0,0,0,14.35
SMB-00005,Professional Services,Midwest,2023-12,117406.03,96494.34,-0.1781,0.0242,23.6,6,0,0,0,0
SMB-00005,Professional Services,Midwest,2024-01,75986.42,61483.57,-0.1909,0.0112,23,6,0,0,0,0
SMB-00005,Professional Services,Midwest,2024-02,65378.78,51385.75,-0.214,0.0568,40.5,6,0,0,1,4.5
SMB-00005,Professional Services,Midwest,2024-03,67928.59,68307.05,0.0056,0.09,23.7,6,0,0,0,10.88
SMB-00005,Professional Services,Midwest,2024-05,94344.52,85067.41,-0.0983,0.0752,,6,0,0,0,3.12
SMB-00005,Professional Services,Midwest,2024-06,89121.77,102272.6,0.1476,0.1217,12.2,6,1,0,0,15.09
SMB-00005,Professional Services,Midwest,2024-07,77522.06,80257.47,0.0353,0.0477,10.5,5,0,0,0,6.68
SMB-00005,Professional Services,Midwest,2024-08,74467.72,81963.93,0.1007,0.0506,18,7,1,0,0,12.54
SMB-00005,Professional Services,Midwest,2024-09,85185.48,84879.27,-0.0036,0.0465,13.5,7,0,0,0,5.71
SMB-00005,Professional Services,Midwest,2024-10,85618.18,,0.1414,0.1587,13.4,5,1,1,0,16.3
SMB-00005,Professional Services,Midwest,2024-11,84070.47,96314.31,0.1456,0.0982,26,6,1,0,0,18.9
SMB-00005,Professional Services,Midwest,2024-12,88482.6,91719.16,0.0366,0.1248,8.8,6,0,0,0,8.52
SMB-00006,Real Estate,Southeast,2023-01,67754.11,65410.83,-0.0346,0.0886,7.5,5,0,0,0,3.42
SMB-00006,Real Estate,Southeast,2023-02,62035.3,54807.25,-0.1165,0.0638,24.4,5,0,0,0,4.23
SMB-00006,Real Estate,Southeast,2023-03,65974.1,56157.03,-0.1488,0.057,39.2,5,0,0,1,7.34
SMB-00006,Real Estate,Southeast,2023-04,67319.13,65223.9,-0.0311,0.0419,15,4,0,0,0,4.69
SMB-00006,Real Estate,Southeast,2023-05,76410.71,64985.08,-0.1495,0.1023,33.5,4,0,0,1,6.77
SMB-00006,Real Estate,Southeast,2023-06,75007.55,56587.9,-0.2456,0.0635,22,5,0,0,0,0
SMB-00006,Real Estate,Southeast,2023-07,82082.18,89723.2,0.0931,0.0803,33.1,4,0,0,1,18.09
SMB-00006,Real Estate,Southeast,2023-08,76089.99,75794.3,-0.0039,0.0886,17.9,5,0,0,0,8.45
SMB-00006,Real Estate,Southeast,2023-09,67232.4,73180.49,0.0885,0.0433,39.1,5,0,0,1,18.76
SMB-00006,Real Estate,Southeast,2023-10,66645.47,61860.66,-0.0718,0.0928,30,4,0,0,1,9.2
SMB-00006,Real Estate,Southeast,2023-11,75477.59,73335.11,-0.0284,0.0454,8.3,4,0,0,0,2.71
SMB-00006,Real Estate,Southeast,2023-12,86128.97,73172.17,-0.1504,0.0915,40.1,4,0,0,1,8.6
SMB-00006,Real Estate,Southeast,2024-01,67797.65,74650.46,0.1011,0.0806,4.4,4,1,0,0,8.93
SMB-00006,Real Estate,Southeast,2024-02,63616.07,50968.23,-0.1988,0.1048,5.2,5,0,0,0,0
SMB-00006,Real Estate,Southeast,2024-03,68597.97,66016.2,-0.0376,0.1037,,6,0,0,0,7.11
SMB-00006,Real Estate,Southeast,2024-04,74733.93,70066.05,-0.0625,0.0972,11.6,5,0,0,0,3.65
SMB-00006,Real Estate,Southeast,2024-05,83475.4,72107.41,-0.1362,0.0631,41.2,5,0,0,1,8.8
SMB-00006,Real Estate,Southeast,2024-06,85517.16,67169.46,-0.2145,0.081,36.6,5,0,0,1,3.9
SMB-00006,Real Estate,Southeast,2024-07,70827.21,66039.84,-0.0676,0.0866,42,5,0,0,1,13.21
SMB-00006,Real Estate,Southeast,2024-08,95262.17,76152.46,-0.2006,0.0779,27.6,4,0,0,0,1.51
SMB-00006,Real Estate,Southeast,2024-09,81123.73,66808.75,-0.1765,0.109,14.9,5,0,0,0,0
SMB-00006,Real Estate,Southeast,2024-10,79606.45,65785.63,-0.1736,0.1153,40,4,0,0,1,8.11
SMB-00006,Real Estate,Southeast,2024-11,91537.95,82466.3,-0.0991,0.0667,22.5,5,0,0,0,4.54
SMB-00006,Real Estate,Southeast,2024-12,106484.68,116792.24,0.0968,0.1025,42.5,5,0,0,1,22.08
SMB-00007,Professional Services,Northeast,2023-01,74410.91,80880.24,0.0869,0.1364,31.3,5,0,0,1,18.88
